cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
263,448,7,632,1,177
264,447,7,632,1,177
265,447,7,632,1,178
266,446,7,632,1,178
267,446,7,632,1,180
268,445,7,633,1,182
269,444,7,634,1,183
270,443,7,634,1,184
271,442,7,634,1,185
272,442,7,635,1,186
273,441,7,635,1,186
274,441,7,635,1,186
275,442,7,636,1,186
276,442,7,636,1,188
277,440,7,636,1,189
278,439,7,636,1,189
279,439,7,636,1,190
280,439,7,637,1,191
281,439,7,638,1,191
282,439,7,638,1,192
283,440,7,640,1,195
284,437,7,640,1,196
285,436,7,640,1,196
286,436,7,640,1,197
287,435,7,640,1,198
288,434,7,640,1,199
289,434,7,641,1,199
290,436,7,643,1,201
291,434,7,643,1,201
292,434,7,643,1,202
293,433,7,643,1,202
294,435,7,645,1,202
295,435,7,645,1,203
296,434,7,645,1,203
297,434,7,645,1,204
298,433,7,645,1,204
299,434,7,646,1,204
300,434,7,646,1,205
301,434,7,647,1,205
302,434,7,647,1,205
303,434,7,647,1,205
304,434,7,647,1,205
305,434,7,647,1,205
306,434,7,647,1,208
307,431,7,647,1,209
308,431,7,648,1,211
309,430,7,649,1,211
310,430,7,649,1,212
311,430,7,650,1,213
312,429,7,650,1,216
313,428,7,652,1,217
314,427,7,652,1,217
315,427,7,652,1,217
316,429,7,654,1,218
317,428,7,654,1,220
318,427,7,655,1,222
319,426,7,656,1,224
320,425,7,657,1,226
321,423,7,657,1,226
322,423,7,657,1,226
323,423,7,657,1,227
324,422,7,657,1,228
325,421,7,657,1,228
326,422,7,658,1,228
327,422,7,658,1,229
328,421,7,658,1,230
329,422,7,660,1,231
330,422,7,661,1,231
331,422,7,661,1,231
332,422,7,661,1,232
333,421,7,661,1,232
334,421,7,661,1,232
335,423,7,663,1,232
336,423,7,663,1,233
337,422,7,663,1,233
338,422,7,663,1,233
339,422,7,663,1,233
340,422,7,663,1,234
341,421,7,663,1,236
342,420,7,664,1,238
343,419,7,665,1,238
344,420,7,666,1,238
345,420,7,666,1,240
346,418,7,666,1,242
347,418,7,668,1,242
348,418,7,668,1,243
349,419,7,670,1,245
350,418,7,671,1,245
351,418,7,671,1,245
352,418,7,671,1,245
353,418,7,671,1,245
354,418,7,671,1,247
355,416,7,671,1,247
356,416,7,671,1,247
357,416,7,671,1,249
358,414,7,671,1,249
