cycle,queueSize,serverCount,totalGenerated,totalBlocked,totalProcessed
# cycle 1: added server
8662,303,5,3993,9,3677
8663,302,5,3993,9,3677
8664,305,5,3996,9,3677
8665,305,5,3996,9,3677
8666,305,5,3996,9,3678
8667,304,5,3996,9,3678
8668,304,5,3996,9,3678
8669,304,5,3996,9,3678
8670,304,5,3996,9,3678
8671,304,5,3996,9,3679
8672,303,5,3996,9,3679
8673,303,5,3996,9,3679
8674,303,5,3996,9,3680
8675,302,5,3996,9,3681
8676,302,5,3997,9,3683
8677,300,5,3997,9,3684
8678,299,5,3997,9,3686
8679,298,5,3998,9,3688
8680,296,5,3998,9,3688
8681,298,5,4000,9,3688
8682,298,5,4000,9,3688
8683,300,5,4002,9,3688
8684,300,5,4002,9,3689
8685,300,5,4003,9,3689
8686,300,5,4003,9,3689
8687,300,5,4003,9,3689
8688,301,5,4004,9,3690
8689,303,5,4007,9,3690
8690,303,5,4007,9,3690
8691,305,5,4009,9,3692
8692,303,5,4009,9,3693
8693,303,5,4010,9,3693
8694,303,5,4010,9,3695
8695,301,5,4010,9,3695
8696,301,5,4010,9,3695
8697,302,5,4011,9,3696
8698,301,5,4011,9,3697
8699,303,5,4014,9,3698
8700,303,5,4015,9,3698
8701,303,5,4015,9,3699
8702,304,5,4017,9,3699
8703,304,5,4017,9,3700
8704,304,5,4018,9,3700
8705,306,5,4020,9,3700
8706,306,5,4020,9,3700
8707,306,5,4020,9,3700
8708,306,5,4020,9,3701
8709,305,5,4020,9,3702
8710,304,5,4020,9,3702
8711,305,5,4021,9,3702
8712,305,5,4021,9,3702
8713,305,5,4021,9,3702
8714,307,5,4023,9,3703
8715,308,5,4025,9,3704
8716,307,5,4025,9,3704
8717,307,5,4025,9,3704
8718,307,5,4025,9,3704
8719,308,5,4026,9,3705
8720,309,5,4028,9,3705
8721,311,5,4030,9,3705
8722,311,5,4030,9,3707
8723,309,5,4030,9,3707
8724,309,5,4030,9,3707
8725,312,5,4033,9,3707
8726,312,5,4033,9,3707
8727,312,5,4033,9,3708
8728,311,5,4033,9,3709
8729,310,5,4033,9,3709
8730,310,5,4033,9,3710
8731,309,5,4033,9,3711
8732,309,5,4034,9,3712
8733,308,5,4034,9,3712
8734,311,5,4037,9,3712
8735,311,5,4037,9,3712
8736,311,5,4037,9,3712
8737,312,5,4038,9,3712
8738,312,5,4038,9,3714
8739,310,5,4038,9,3714
8740,310,5,4038,9,3714
8741,310,5,4038,9,3715
8742,309,5,4038,9,3717
8743,307,5,4038,9,3718
8744,306,5,4038,9,3718
8745,306,5,4038,9,3719
8746,306,5,4039,9,3720
8747,305,5,4039,9,3721
8748,307,5,4042,9,3722
8749,307,5,4043,9,3722
8750,307,5,4043,9,3722
8751,308,5,4044,9,3722
8752,308,5,4044,9,3722
8753,309,5,4045,9,3722
8754,310,5,4046,9,3722
8755,310,5,4046,9,3723
8756,309,5,4046,9,3723
8757,309,5,4046,9,3724
8758,308,5,4046,9,3725
8759,308,5,4047,9,3727
8760,306,5,4047,9,3727
8761,306,5,4047,9,3728
8762,305,5,4047,9,3729
8763,304,5,4047,9,3729
8764,304,5,4047,9,3731
8765,302,5,4047,9,3731
8766,302,5,4047,9,3732
8767,301,5,4047,9,3732
8768,301,5,4047,9,3733
8769,300,5,4047,9,3733
8770,300,5,4047,9,3733
8771,302,5,4049,9,3733
8772,303,5,4050,9,3733
8773,303,5,4050,9,3734
8774,302,5,4050,9,3734
8775,303,5,4051,9,3735
8776,303,5,4052,9,3735
8777,303,5,4052,9,3736
8778,305,5,4055,9,3736
8779,305,5,4055,9,3736
8780,306,5,4056,9,3736
8781,307,5,4057,9,3736
8782,308,5,4058,9,3736
8783,308,5,4058,9,3736
8784,308,5,4058,9,3738
8785,306,5,4058,9,3739
8786,305,5,4058,9,3739
8787,305,5,4058,9,3740
8788,304,5,4058,9,3741
8789,303,5,4058,9,3742
8790,302,5,4058,9,3742
8791,303,5,4059,9,3742
8792,303,5,4059,9,3742
